Timestamp,Face Emotion,Voice Emotion
2025-06-12 12:08:53,Uncertain,N/A
2025-06-12 12:08:53,Uncertain,N/A
2025-06-12 12:08:53,Uncertain,N/A
2025-06-12 12:08:54,Uncertain,N/A
2025-06-12 12:08:54,sad,N/A
2025-06-12 12:08:54,Uncertain,N/A
2025-06-12 12:08:54,N/A,disgust
2025-06-12 12:08:54,Uncertain,N/A
2025-06-12 12:08:54,Uncertain,N/A
2025-06-12 12:08:55,Uncertain,N/A
2025-06-12 12:08:55,Uncertain,N/A
2025-06-12 12:08:55,Uncertain,N/A
2025-06-12 12:08:55,Uncertain,N/A
2025-06-12 12:08:56,Uncertain,N/A
2025-06-12 12:08:56,angry,N/A
2025-06-12 12:08:56,Uncertain,N/A
2025-06-12 12:08:56,Uncertain,N/A
2025-06-12 12:08:56,Uncertain,N/A
2025-06-12 12:08:57,sad,N/A
2025-06-12 12:08:57,Uncertain,N/A
2025-06-12 12:08:57,sad,N/A
2025-06-12 12:08:58,Uncertain,N/A
2025-06-12 12:08:58,Uncertain,N/A
2025-06-12 12:08:58,Uncertain,N/A
2025-06-12 12:08:58,angry,N/A
2025-06-12 12:08:58,angry,N/A
2025-06-12 12:08:59,Uncertain,N/A
2025-06-12 12:08:59,sad,N/A
2025-06-12 12:08:59,Uncertain,N/A
2025-06-12 12:08:59,Uncertain,N/A
2025-06-12 12:08:59,Uncertain,N/A
2025-06-12 12:09:00,Uncertain,N/A
2025-06-12 12:09:00,Uncertain,N/A
2025-06-12 12:09:00,Uncertain,N/A
2025-06-12 12:09:00,N/A,disgust
2025-06-12 12:09:00,Uncertain,N/A
2025-06-12 12:09:00,Uncertain,N/A
2025-06-12 12:09:01,sad,N/A
2025-06-12 12:09:01,sad,N/A
2025-06-12 12:09:01,sad,N/A
2025-06-12 12:09:01,Uncertain,N/A
2025-06-12 12:09:01,Uncertain,N/A
2025-06-12 12:09:02,Uncertain,N/A
2025-06-12 12:09:02,neutral,N/A
2025-06-12 12:09:02,sad,N/A
2025-06-12 12:09:02,Uncertain,N/A
2025-06-12 12:09:03,Uncertain,N/A
2025-06-12 12:09:03,Uncertain,N/A
2025-06-12 12:09:03,Uncertain,N/A
2025-06-12 12:09:03,Uncertain,N/A
2025-06-12 12:09:03,Uncertain,N/A
2025-06-12 12:09:04,Uncertain,N/A
2025-06-12 12:09:04,Uncertain,N/A
2025-06-12 12:09:04,sad,N/A
2025-06-12 12:09:04,sad,N/A
2025-06-12 12:09:05,sad,N/A
2025-06-12 12:09:05,sad,N/A
2025-06-12 12:09:05,Uncertain,N/A
2025-06-12 12:09:05,sad,N/A
2025-06-12 12:09:06,sad,N/A
2025-06-12 12:09:06,neutral,N/A
2025-06-12 12:09:06,sad,N/A
2025-06-12 12:09:06,sad,N/A
2025-06-12 12:09:07,sad,N/A
2025-06-12 12:09:07,N/A,disgust
2025-06-12 12:09:07,sad,N/A
2025-06-12 12:09:07,sad,N/A
2025-06-12 12:09:07,sad,N/A
2025-06-12 12:09:07,sad,N/A
2025-06-12 12:09:07,sad,N/A
2025-06-12 12:09:08,Uncertain,N/A
2025-06-12 12:09:08,Uncertain,N/A
2025-06-12 12:09:08,Uncertain,N/A
2025-06-12 12:09:08,sad,N/A
2025-06-12 12:09:08,sad,N/A
2025-06-12 12:09:08,sad,N/A
2025-06-12 12:09:09,Uncertain,N/A
2025-06-12 12:09:09,Uncertain,N/A
2025-06-12 12:09:09,Uncertain,N/A
2025-06-12 12:09:09,Uncertain,N/A
2025-06-12 12:09:09,Uncertain,N/A
2025-06-12 12:09:10,Uncertain,N/A
2025-06-12 12:09:10,Uncertain,N/A
2025-06-12 12:09:10,Uncertain,N/A
2025-06-12 12:09:10,Uncertain,N/A
2025-06-12 12:09:11,Uncertain,N/A
2025-06-12 12:09:11,Uncertain,N/A
2025-06-12 12:09:11,Uncertain,N/A
2025-06-12 12:09:11,Uncertain,N/A
2025-06-12 12:09:12,Uncertain,N/A
2025-06-12 12:09:12,Uncertain,N/A
2025-06-12 12:09:12,Uncertain,N/A
2025-06-12 12:09:12,Uncertain,N/A
2025-06-12 12:09:12,Uncertain,N/A
2025-06-12 12:09:13,Uncertain,N/A
2025-06-12 12:09:13,N/A,disgust
2025-06-12 12:09:13,Uncertain,N/A
2025-06-12 12:09:13,Uncertain,N/A
2025-06-12 12:09:13,Uncertain,N/A
2025-06-12 12:09:13,Uncertain,N/A
2025-06-12 12:09:14,Uncertain,N/A
2025-06-12 12:09:14,Uncertain,N/A
2025-06-12 12:09:14,Uncertain,N/A
2025-06-12 12:09:14,Uncertain,N/A
2025-06-12 12:09:15,sad,N/A
2025-06-12 12:09:15,Uncertain,N/A
2025-06-12 12:09:15,Uncertain,N/A
2025-06-12 12:09:15,Uncertain,N/A
2025-06-12 12:09:16,Uncertain,N/A
2025-06-12 12:09:16,Uncertain,N/A
2025-06-12 12:09:16,Uncertain,N/A
2025-06-12 12:09:16,Uncertain,N/A
2025-06-12 12:09:16,Uncertain,N/A
2025-06-12 12:09:17,Uncertain,N/A
2025-06-12 12:09:17,sad,N/A
2025-06-12 12:09:17,sad,N/A
2025-06-12 12:09:17,Uncertain,N/A
2025-06-12 12:09:17,sad,N/A
2025-06-12 12:09:17,Uncertain,N/A
2025-06-12 12:09:18,neutral,N/A
2025-06-12 12:09:18,Uncertain,N/A
2025-06-12 12:09:18,Uncertain,N/A
2025-06-12 12:09:18,Uncertain,N/A
2025-06-12 12:09:18,Uncertain,N/A
2025-06-12 12:09:18,Uncertain,N/A
2025-06-12 12:09:19,Uncertain,N/A
2025-06-12 12:09:19,sad,N/A
2025-06-12 12:09:19,N/A,angry
2025-06-12 12:09:19,Uncertain,N/A
2025-06-12 12:09:19,Uncertain,N/A
2025-06-12 12:09:19,Uncertain,N/A
2025-06-12 12:09:20,Uncertain,N/A
2025-06-12 12:09:20,Uncertain,N/A
2025-06-12 12:09:20,sad,N/A
2025-06-12 12:09:20,sad,N/A
2025-06-12 12:09:20,Uncertain,N/A
2025-06-12 12:09:20,Uncertain,N/A
2025-06-12 12:09:21,Uncertain,N/A
2025-06-12 12:09:21,Uncertain,N/A
2025-06-12 12:09:21,Uncertain,N/A
2025-06-12 12:09:21,Uncertain,N/A
2025-06-12 12:09:21,Uncertain,N/A
2025-06-12 12:09:21,Uncertain,N/A
2025-06-12 12:09:21,Uncertain,N/A
